Id_jednostki,Nazwa,Typ,Regon,WK,PK,GK,GT,PT
0,SZKO£A PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA,JB,000903297     ,10,02,01,1,0
1,SZKO£A PODSTAWOWA NR 4 IM. MIKO£AJA KOPERNIKA W KUTNIE,JB,000903305     ,10,02,01,1,0
2,SZKO£A PODSTAWOWA NR 2 IM. MARSZA£KA JÓZEFA PI£SUDSKIEGO,JB,368245067     ,10,02,01,1,0
3,SZKO£A PODSTAWOWA NR 6 IM. MARII SK£ODOWSKIEJ - CURIE W KUTNIE,JB,000903280     ,10,02,01,1,0
4,SZKO£A PODSTAWOWA NR 1 IM.TADEUSZA KOŒCIUSZKI W KUTNIE,JB,000903334     ,10,02,01,1,0
5,SZKO£A PODSTAWOWA NR 7 IM. ADAMA MICKIEWICZA,JB,368246055     ,10,02,01,1,0
6,SZKO£A PODSTAWOWA NR 9 IM.W£.JAGIE££Y W KUTNIE,JB,001070630     ,10,02,01,1,0
7,Szko³a Podstawowa Nr 7,JB,001070630     ,10,02,01,1,0
8,Szko³a Podstawowa Nr 9,JB,001070630     ,10,02,01,1,0
9,Szko³a Podstawowa Nr 2,JB,368245067     ,10,02,01,1,0
10,Szko³a Podstawowa Nr 1,JB,000903334     ,10,02,01,1,0
11,Szko³a Podstawowa Nr 6,JB,000903280     ,10,02,01,1,0
12,Szko³a Podstawowa Nr 5,JB,000903297     ,10,02,01,1,0
13,Szko³a Podstawowa Nr 4,JB,000903305     ,10,02,01,1,0
