Id_pozycji,Dzial,Rodzial,Paragraf,P4,PL,NA,DW,NO,NZ
0,801,,069,0,1500.00,72.00,72.00,,
1,801,,075,0,35000.00,6659.81,6659.81,,
2,801,,092,0,2000.00,1303.44,1303.44,,
3,801,,083,0,120000.00,101872.00,101466.00,406.00,
4,801,,097,0,7000.00,3468.00,3468.00,,
5,801,,069,0,50.00,62.00,62.00,,
6,801,,075,0,1000.00,3896.67,3616.18,280.49,280.49
7,801,,092,0,1500.00,2125.33,2098.16,27.17,27.17
8,801,,097,0,450.00,516.00,516.00,,
9,801,,083,0,113000.00,61901.00,62043.00,,
10,801,,069,0,200.00,18.00,18.00,,
11,801,,075,0,9000.00,5847.90,5847.90,,
12,801,,092,0,5000.00,1950.15,1950.15,,
13,801,,097,0,1500.00,680.25,680.25,,
14,801,,083,0,230000.00,150127.00,150127.00,,
15,801,,097,0,4000.00,700.00,700.00,,
16,801,,069,0,400.00,134.00,134.00,,
17,801,,075,0,12000.00,10312.50,8632.50,1680.00,1680.00
18,801,,092,0,6000.00,2413.84,2333.21,80.63,80.63
19,801,,097,0,500.00,,,,
20,801,,083,0,190000.00,146385.00,145337.00,1048.00,
21,801,,097,0,5000.00,607.00,607.00,,
22,801,,069,0,500.00,143.00,143.00,,
23,801,,075,0,36100.00,16151.85,16151.85,,
24,801,,092,0,6000.00,1761.28,1761.28,,
25,801,,097,0,3500.00,2509.60,2509.60,,
26,801,,083,0,601000.00,315636.00,315636.00,,
27,801,,097,0,11000.00,6468.00,6468.00,,
28,801,,069,0,200.00,,,,
29,801,,075,0,15000.00,10972.04,10522.04,450.00,450.00
30,801,,092,0,2000.00,944.35,944.35,,
31,801,,097,0,600.00,334.41,334.41,,
32,801,,069,0,200.00,27.00,27.00,,
33,801,,075,0,75000.00,89464.00,74328.00,15136.00,6840.00
34,801,,092,0,6000.00,3785.59,3785.59,,
35,801,,097,0,1500.00,1147.95,1147.95,,
36,801,,083,0,700000.00,401335.40,401335.40,,
37,801,,097,0,7000.00,4845.00,4845.00,,
38,801,,069,0,200.00,132.00,132.00,,
39,801,,075,0,15000.00,17544.56,17094.56,450.00,450.00
40,801,,092,0,2000.00,2038.59,2038.59,,
41,801,,097,0,600.00,516.76,516.76,,
42,801,,069,0,200.00,199.00,199.00,,
43,801,,075,0,107000.00,111943.50,111943.50,,
44,801,,083,0,4000.00,,,,
45,801,,092,0,9000.00,9181.19,9181.19,,
46,801,,097,0,1500.00,1871.17,1871.17,,
47,801,,083,0,563000.00,546865.50,546865.50,,
48,801,,097,0,7000.00,7225.00,7225.00,,
49,801,,069,0,200.00,122.00,122.00,,
50,801,,075,0,9000.00,7232.00,7232.00,,
51,801,,083,0,,,,,
52,801,,092,0,4100.00,3806.95,3806.95,,
53,801,,095,0,13934.00,13933.44,13933.44,,
54,801,,097,0,1500.00,952.95,952.95,,
55,801,,083,0,225000.00,216289.10,216177.10,112.00,
56,801,,097,0,4000.00,1308.00,1308.00,,
57,801,,069,0,500.00,171.00,171.00,,
58,801,,075,0,36100.00,18549.03,18549.03,,
59,801,,092,0,3900.00,4004.29,4004.29,,
60,801,,095,0,33288.00,33288.00,33288.00,,
61,801,,097,0,3500.00,32127.45,32127.45,,
62,801,,083,0,474000.00,435812.50,435812.50,,
63,801,,097,0,12000.00,10734.00,10734.00,,
64,801,,069,0,300.00,189.00,189.00,,
65,801,,075,0,10000.00,11877.75,10197.75,1680.00,1680.00
66,801,,092,0,3000.00,4193.46,4112.83,80.63,80.63
67,801,,097,0,700.00,,,,
68,801,,083,0,220000.00,219111.00,216854.00,2257.00,
69,801,,097,0,5000.00,2126.50,2126.50,,
70,801,,069,0,1500.00,143.00,143.00,,
71,801,,075,0,30000.00,10097.55,10097.55,,
72,801,,092,0,2000.00,2269.35,2269.35,,
73,801,,083,0,100000.00,128829.00,128829.00,,
74,801,,097,0,7000.00,4568.00,4568.00,,
75,801,,069,0,100.00,81.00,81.00,,
76,801,,075,0,500.00,5226.36,4945.87,280.49,280.49
77,801,,092,0,,5099.70,5072.53,27.17,27.17
78,801,,097,0,420.00,452.00,452.00,,
79,801,,083,0,75000.00,80642.00,81787.00,,
